trip,arm,origin,dest,arrived,duration_s,fuel_mg,reroutes,driven_edges,bg_vcount_at_depart,bg_possum_at_depart
1,,-153395,152996#8,True,734.0,527058.0863798455,2,-153395|-152252|-152413#3|-152413#2|-152413#1|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153331#11|-153331#10|-153331#9|-153331#8|-153331#7|-153331#6|-153331#5|152996#0|152996#2|152996#3|152996#4|152996#5|152996#6|152996#7|152996#8,226,49989.1
2,,-152574#0,153354#1,True,637.75,253661.4164896361,0,-152574#0|-152624#3|-152624#2|-152624#1|-152624#0|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|-153372#1|-153372#0|152558#1|152558#2|152558#3|152558#5|152558#6|153359#0|153359#1|153354#0|153354#1,243,44991.9
0,,153452#0,-152457#0,True,906.75,410707.9061248266,3,153452#0|153452#1|153452#2|153451#1|153451#2|153451#3|153451#4|153451#5|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|153480#0|153480#1|153480#2|153480#3|153480#4|153480#5|153480#6|153480#7|152216|-153378#2|-153378#1|-153378#0|152218|-152578#1|152172|152173|153375|-152457#2,229,45727.0
4,,152740,-153421#2,True,462.75,365023.9954691786,3,152740|152374#2|152840|153427#9|153427#10|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153412#4|-153412#3|-153412#2|-153412#1|-153412#0|-152254|-153421#4|-153421#3|-153421#2,258,58899.8
5,,-153427#3,153437,True,564.5,317852.53166857385,1,-153427#3|-152843#2|153063#0|153063#1|153427#4|153427#5|153427#6|153427#7|153427#10|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|-153441#3|-153441#2|-153441#1|153443|152812#1|152812#2|152812#3|152812#4,251,60252.3
6,,153567,152176#1,True,453.25,350581.69247505884,1,153567|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2,240,64715.8
3,,152487#2,152761,True,910.0,566978.1009513285,5,152487#2|152487#3|152750#2|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153331#11|-153331#10|-153331#9|-153331#8|-153331#7|-153331#6|-153331#5|-153331#4|-153331#2|-153331#1|-153331#0|-153415#1|-153415#0|153413#14|153413#15|153413#16|152997|152999|152706#0|152706#1|152706#2|152706#3|152780|152767#2|152767#3|152716|152381|-152672#2|-152672#1|-152650#0|-152677#5|-152677#4|-152677#3|-152677#2|-152677#1|-152677#0|152670#4|152282|-152290,244,54582.7
7,,153332#2,-152912#2,True,676.0,450472.1381544017,5,153332#2|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|153444#5|152892#1|-152300|152891#0|152891#1|152399#0|152399#1|152399#2|152901#0|152901#1|152320|152403|152421|152895#2|152982#0|-152912#8|-152912#6|-152912#5|-152912#4|-152912#3|-152912#2,235,65450.6
10,,-152732,-153372#3,True,535.0,191186.29957501343,0,-152732|-153424#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3,240,48657.5
8,,-153567,153380#1,True,777.25,542102.9299360276,6,-153567|153567|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|153480#0|153480#1|153480#2|153480#3|153480#4|153480#5|153480#6|153480#7|152585#1|152350|152582#0|152582#1|-152590#2|-152590#1|-152590#0|-153380#4|-153380#3|-153380#2,218,58271.6
9,,-152376,-152796#1,True,671.75,353073.24359933997,4,-152376|153451#4|153456#0|153456#1|153456#2|153456#3|153456#4|153456#5|153456#6|153007#6|152406|153636#1|153002#0|152838|153005#1|152235|153338|153641|152330#0|152330#1|152330#2|152330#3|152330#4|152330#5|152166|-153006#3|-153006#2|-153006#1|-153006#0|152899#2|-152870#4|-152832#6|-152832#5|-152832#4|-152832#3|-152832#2|-152832#1|-152832#0|-152987#1|-152987#0|-152969#3|-152969#2|-152969#1|-152969#0|152791|152796#0,231,48672.9
11,,-152977,152715,True,557.5,250264.4338112552,0,-152977|-152624#1|-152624#0|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153331#11|-153331#10|-153331#9|-153331#8|-153331#7|-153331#6|-153331#5|-153331#4|-153331#2|-153331#1|-153331#0|-153415#1|-153415#0|153413#14|153413#15|153413#16|152997|152999|152706#0|152706#1|152715,235,54233.5
