trip,arm,origin,dest,arrived,duration_s,fuel_mg,reroutes,driven_edges,bg_vcount_at_depart,bg_possum_at_depart
1,,-152401,-153473#0,True,184.5,142922.56723606604,0,-152401|-153008#0|153476#10|153476#11|153476#12|153476#13|153476#14|153476#15|153476#16|153476#17|153476#18|153476#19|153476#20|153476#22|-153010#1|-153010#0|-152920#2,228,45257.8
0,,153487#1,-152776,True,707.5,312926.6977834733,0,153487#1|-153487#1|-153487#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|-153441#3|-153441#2|-153441#1|153443|152812#1|152812#2|152812#3|152812#4|152812#5|152814#8|152814#9|152814#10|152814#11|152759|152230|152785#0|152785#1|152785#2|152167|152969#0|152969#1|152969#2|152969#3|-152795#1|152808|152959#3|152959#4|-152817#3|-152817#2|-152817#1|-152817#0|-152776,225,45064.8
2,,-153413#12,-153370#1,True,540.25,585515.535237391,0,-153413#12|-153413#11|-153413#10|-153413#9|-153413#8|-153413#7|-153413#6|-153413#5|-153413#4|-153413#3|-153413#1|-153413#0|153399#0|153399#1|152933#4|152933#0|152933#2|153329#0|153329#1|153329#2|153329#3|153329#4|153329#5|153412#5|152251|153385#0|153385#1|152250|153383#0|153383#1|-153381#7|-153381#6|-153381#5|-153381#4|-153381#3|-153381#2|-153381#1|-153381#0|152512#1|152512#2|152512#3|-153371#4|-153371#3|-153371#2|-153371#1|-153371#0|-152247|-153370#1,242,41993.8
5,,153405#1,152690,True,192.25,253399.22286034742,0,153405#1|153405#2|153405#3|153406#0|153406#1|153406#2|152940|152684|152174#1|-152701#5|-152701#4|-152701#3|-152706#3|-152706#2|-152706#1|-152706#0|-152999|-152997|-153413#16|-153413#15|-153413#14|153415#0|153415#1|153415#2|153415#3|153415#4|153415#5|-153410#6|-153410#5|-153410#4|-153410#3|152690,246,68942.3
3,,-152883#0,-152743#1,True,504.25,864231.560280847,0,-152883#0|152975#1|-153560|152898#0|152898#1|152898#2|-152299|152857|152137#3|152137#4|152137#5|152137#6|152137#7|-152139|152318#4|152318#1|-152308|152281|152530|-152330#5|-152330#4|-152330#3|-152330#2|-152330#1|-152330#0|153637|152405|-153007#6|-153456#6|-153456#5|-153456#4|-153456#3|-153456#2|-153456#1|-153456#0|153451#5|153451#6|153451#7|152908#0|152908#1|152908#2|152908#3|152743#0,244,49206.3
4,,153327#1,-152682#1,True,400.5,206041.53555271815,0,153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|153440#1|153440#2|153440#3|153440#4|153440#5|153440#6|-152255#1|-152255#0|-153423#4|-153423#3|153410#0|153410#1|153410#2|153410#3|153410#4|153410#5|153410#6|153410#7|153410#8|153410#9|-153331#2|-153331#1|-153331#0|-153415#1,253,57729.9
7,,-152712,-153363#0,True,345.5,235965.83004605284,0,-152712|152711#1|152711#2|152711#3|152701#4|152701#5|152703|152704|152667#1|152667#2|152667#3|152667#4|152667#5|152667#6|152667#7|152667#8|152667#9|152667#10|152667#11|152605#1|152605#2|152169|152223|152453|152454#1|-152582#4|-152582#3|-152582#2|-152582#1|-152582#0|152576|152219|153365#0|153365#1|153365#3|153365#4|-153363#3|-153363#2|-153363#1|-153363#0,231,63257.5
6,,-152443,-152427,True,530.75,632504.3174933709,0,-152443|-152471#0|-152913#1|-152913#0|153479#5|153479#6|153479#7|153479#8|153479#9|153479#11|-152330#0|153637|152405|-153007#6|-153456#6|-153456#5|-153456#4|-153456#3|-153456#2|-153456#1|-153456#0|153451#5|153435#0|153435#1|153435#2|153435#3|152416#1|152413#0|152413#1|152413#2|153394#0|153394#1|153394#2|153394#3,244,66108.8
8,,-153383#2,152960#6,True,378.5,254957.7428263285,0,-153383#2|-153383#1|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153331#11|-153331#10|-153331#9|-153331#8|-153331#7|-153331#6|-153331#5|-153331#4|-153331#2|-153331#1|-153331#0|-153415#1|-153415#0|153413#14|153413#15|153413#16|152997|152999|152706#0|152706#1|152706#2|152706#3|152780|152767#2|152767#3|152716|152381|-152775#0|152810#0|152810#1|152810#2|152820|152960#1|152805#0|152805#1|152805#2|-152766#1|-152766#0,212,56578.4
10,,152677#1,-153365#1,True,264.25,261344.6355935268,0,152677#1|152677#2|152677#3|152677#4|152668#0|152668#1|152668#2|152667#4|152667#5|152667#6|152667#7|152667#8|152667#9|152667#10|152667#11|152605#1|152605#2|152169|152223|152453|152454#1|-152582#4|-152582#3|-152582#2|-152582#1|-152582#0|152576|152219|153365#0|153365#1|-152561|152561|-153365#1,236,45752.4
9,,153572#0,153327#0,True,405.25,413378.85386012885,0,153572#0|153572#1|-153572#1|-153572#0|-152409#0|-152908#7|-152908#6|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0,227,47596.8
13,,-152939#5,152693#1,True,68.25,92084.22205828363,0,-152939#5|-152767#3|-152767#2|-152780|-152706#3|-152706#2|152715|152711#0|152712|152491#5,257,50147.4
14,,152398#3,-153476#16,True,201.25,204902.39938138792,0,152398#3|152398#4|-152398#4|-152398#3|-152398#2|152646|-152298|-152873#3|-152873#2|-152873#1|-152873#0|152983|152982#3|152982#4|152973|-152895#1|153476#1|153476#2|153476#3|153476#5|153476#6|153476#7|153476#8|153476#9|153476#10|153476#11|153476#12|153476#13|153476#14|153476#15,254,51087.1
12,,-153476#17,-152284,True,495.0,420493.9616630611,0,-153476#17|-153476#16|-153476#15|-153476#14|-153476#13|-153476#12|-153476#11|-153476#10|-153476#9|-153476#8|-153476#7|-153476#6|-153476#5|-153476#3|-153476#2|-153476#1|-153476#0|152418|152270|152419#0|152419#1|152308|152318#4|152309|-152305|-152831#2|-152831#1|-152831#0|152816#4|152816#5|-152810#2|-152810#1|-152810#0|152775#0|152775#2|152775#3|152775#4|152775#5|-152702#1|-152702#0|152667#1|152667#2|152667#3|152667#4|152667#5|152667#6|152667#7|152667#8|152667#9|152667#10|152667#11|152605#1|152605#2|152223|152453|152454#1|152615#0|152615#1|152615#2|-152319|-152965#1|-152965#0|152941#0|152941#1|152941#2|152941#3|152941#4,247,57073.2
18,,152413#1,153427#10,True,242.75,258399.5667441102,0,152413#1|152413#2|153394#0|-152644|152644|-153394#0|-152413#2|-152413#1|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|152908#0|152908#1|153482#0|152149|153397|153000|153332#2,236,61616.8
15,,-152930,-153355#4,True,673.0,330674.0472298393,0,-152930|-152743#0|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153490#6|153490#7|153490#8|153490#9|152618#1|152214|153373|152248|153370#0|153370#1|152247|153371#0|153371#1|153371#2|153371#3|153371#4|152512#4|152512#1|-153485#4|-153485#3|-153485#2|-153485#1|-153485#0|153351|152241|-153362#1|-153362#0|-153325#2|-153355#4,245,46867.7
17,,-152725#0,152483#0,True,501.25,638526.9494659724,0,-152725#0|152725#0|152725#1|152725#2|152725#3|152254|153412#0|153412#1|153412#2|153412#3|153412#4|153412#5|152251|153385#0|153385#1|152250|153383#0|-153386|152176#1|152176#2|152177|153384#0|153384#1|153384#2|152628#1|-153387#2|-153387#1|-153392#1|-153391#1|-153391#0|152736#0|152736#1|152736#2|-152734#0|-153424#0|-153433#0|-153048#1|-152483#1,241,73386.3
16,,152385,-152742,True,779.25,914338.7027495871,0,152385|-152206|152461|152311|152312#2|-152309|152318#1|-152308|152281|152530|-152330#5|-152330#4|-152330#3|-152330#2|-152330#1|-152330#0|153637|152405|-153007#6|-153456#6|-153456#5|-153456#4|-153456#3|-153456#2|-153456#1|-153456#0|153451#5|153451#6|153451#7|153433#1|153424#1|152624#0|-152742,246,57031.4
20,,152817#3,153056,True,456.75,576862.3763226826,0,152817#3|152959#5|152779|152818#0|152818#1|152818#2|152818#3|152816#0|152816#1|152816#2|152816#3|152816#4|152816#5|-152810#2|-152810#1|-152810#0|152775#0|-152381|-152716|-152767#3|-152767#2|-152780|-152706#3|-152706#2|-152706#1|-152706#0|-152999|-153413#16|-153413#15|-153413#14|153415#0|153415#1|153331#0|153331#1|153331#2|153331#4|153331#5|153331#6|153331#7|153331#8|153331#9|153331#10|153331#11|153329#4|153329#5|153412#5|152251|153385#0|153385#1|152250|153383#0|153383#1|-153381#7|-153381#6|-153381#5|153056,241,53304.7
19,,-153451#0,-152492,True,625.25,444683.57479673915,0,-153451#0|-153053|-153055#0|153055#0|153053|153452#2|153451#1|153451#2|153451#3|153451#4|153451#5|153451#6|153451#7|153433#1|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153490#6|153490#7|153490#8|153490#9|152618#1|152214|153373|152248|153370#0|-152492,239,54098.8
21,,-152830#0,152556,True,406.25,369989.35091982107,0,-152830#0|153441#2|153441#3|153440#1|153440#2|153440#3|153440#4|153440#5|153440#6|-152255#1|-152255#0|-153423#4|-153423#3|-153423#2|-153423#1|152254|153412#0|153412#1|153412#2|153412#3|153412#4|153412#5|152251|153385#0|153385#1|152250|153383#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|-153372#1|-153326#4|-153326#3|-153326#2,235,58826.1
11,,152789#0,153401,True,1667.0,1217090.3113056552,0,152789#0|-152789#0|152135#0|152135#1|153273#1|153273#2|-152810#2|-152810#1|-152810#0|152770|-152650#1|152688#0|152688#1|152688#2|-152702#0|152175,236,56291.3
23,,-153553,153475#2,True,302.75,392770.56278004474,0,-153553|153553|-152422#1|-152422#0|-152789#0|152468|152296|153640|153639|152874#4|-152883#2|-152883#1|-152883#0|152975#1|152900#0|152900#1|152982#4|152973|-152895#1|153476#1|153476#2|153476#3|153476#5|153476#6|153476#7|153476#8|153476#9|153476#10|153476#11|153476#12|153476#13|153476#14|153476#15|153476#16|153476#17|153476#18|153476#19|153476#20|153476#22|-153010#1|-153010#0|-153470|-153472#3,272,57333.7
22,,-152657#2,153332#2,True,634.25,812716.2659712454,0,-152657#2|-152657#1|-152657#0|152702#0|152702#1|-152939#5|-152767#3|-152767#2|-152780|-152706#3|-152706#2|-152706#1|-152706#0|-152999|-152997|-153413#16|-153413#15|-153413#14|153415#0|153415#1|153331#0|153331#1|153331#2|153331#4|153331#5|153331#6|153331#7|153331#8|153331#9|153331#10|153331#11|153329#4|153329#5|153412#5|152251|153385#0|153385#1|152250|153383#0|-153386|152176#1|152176#2|152177|153384#0|153384#1|153384#2|152628#1|-153387#2|-153392#1|-153391#1|-153391#0|152736#0|152736#1|152736#2|-152734#0|-153424#0|152908#0|152908#1|152908#2|152908#3|152908#5|-153427#11,246,54810.5
24,,153454#0,152489#3,True,450.75,558030.6708132889,0,153454#0|153454#1|152409#3|153637|152405|-153007#6|-153456#6|-153456#5|-153456#4|-153456#3|-153456#2|-153456#1|-153456#0|153451#5|153435#0|153435#1|153435#2|153435#3|152416#1|152413#0|-152750#8|-152750#7|-152750#5|-152750#4|-152750#2|-152487#3,273,72268.4
